,posted,miles,origin,dest,weight,shipper,time
0,14:33," 1,359 ","Boron,CA","Dallas,TX","41,503","Bnsf Logistics Llc, Chicago, IL",
1,14:18," 1,364 ","Mira Loma,CA","Ft Worth,TX","42,100","Arcbest Dedicated/Logistics & Distribution, Sparks, NV",
2,14:14," 1,382 ","Moreno Valley,CA","Dallas,TX","9,672","Western Express Inc, Nashville, TN",
3,14:14," 1,382 ","Moreno Valley,CA","Dallas,TX","40,000","Western Express Inc, Nashville, TN",
4,14:11," 1,390 ","San Bernardino,CA","Dallas,TX","19,000","JB Hunt Transport Services Inc, Lowell, AR",
5,14:10," 1,328 ","San Diego,CA","Ft Worth,TX","45,000","Coyote Logistics Llc, Alpharetta, GA",
6,14:09," 1,417 ","Fullerton,CA","Coppell,TX","40,000","Veritiv Operating Company, Norcross, GA",
7,14:05," 1,423 ","City Of Indus,CA","Dallas,TX","41,800","R2 Logistics Inc, Dallas, TX",
8,14:01," 1,359 ","Boron,CA","Dallas,TX","41,000","Landstar Ranger, Houston, TX",
9,14:01," 1,359 ","Boron,CA","Dallas,TX","41,000","Landstar Ranger, Houston, TX",
10,14:01," 1,438 ","Carson,CA","Irving,TX","30,000","Landstar Ranger Inc, Tampa, FL",
11,14:01," 1,438 ","Carson,CA","Irving,TX","30,000","Landstar Ranger Inc, Tampa, FL",
12,13:57," 1,440 ","Los Angeles,CA","Dallas,TX","41,800","R2 Logistics Inc, Dallas, TX",
13,13:46," 1,428 ","Buena Park,CA","Dallas,TX","9,200","Sure Shot Logistics, Huntington Woods, MI",
14,13:41,"



 1,316 ","Vernon,CA","Humble,TX","40,000","Allen Lund Company, La Canada, CA",
15,13:41," 1,435 ","Santa Fe Spgs,CA","Dallas,TX","16,000","Total Quality Logistics Inc, Milford, OH",
16,13:40," 1,419 ","Vernon,CA","Hurst,TX","20,000","All State Association Inc, San Fernando, CA",
17,13:35," 1,303 ","Beaumont,CA","Coppell,TX","28,575","SCHNEIDER NATIONAL INC, Green Bay, WI",
18,13:35," 1,303 ","Beaumont,CA","Coppell,TX","28,575","SCHNEIDER NATIONAL INC, Green Bay, WI",
19,13:35," 1,303 ","Beaumont,CA","Coppell,TX","28,575","SCHNEIDER NATIONAL INC, Green Bay, WI",
20,13:34," 1,303 ","Beaumont,CA","Coppell,TX","28,000","Schneider National Inc, Green Bay, WI",
21,13:34," 1,303 ","Beaumont,CA","Coppell,TX","28,000","Schneider National Inc, Green Bay, WI",
22,13:33," 1,390 ","San Bernardino,CA","Dallas,TX",—,"Mid America Freight Logistics LLC, Fenton, MO",
23,13:31," 1,501 ","Oxnard,CA","Dallas,TX","38,000","Coyote Logistics Llc, Alpharetta, GA",
24,13:30," 1,359 ","Boron,CA","Dallas,TX","41,503","Bnsf Logistics Llc, Chicago, IL",
25,12:32," 1,360 ","San Diego,CA","Lewisville,TX","25,000","PLS Logistics Services, Jacksonville, FL",
26,12:32," 1,360 ","San Diego,CA","Lewisville,TX","25,000","PLS Logistics Services, Jacksonville, FL",
27,11:04," 1,448 ","Long Beach,CA","Dallas,TX","20,000","All State Association Inc, San Fernando, CA",
