,posted,miles,origin,dest,weight,shipper,time
0,11:48," 1,360 ","San Diego,CA","Lewisville,TX","25,000","PLS Logistics Services, Jacksonville, FL",
1,11:48," 1,362 ","San Diego,CA","Dallas,TX","14,000","Tristar Transit Inc, Sylmar, CA",
2,11:41," 1,423 ","City Of Indus,CA","Dallas,TX","41,800","R2 Logistics Inc, Dallas, TX",
3,11:35," 1,406 ","City Of Indus,CA","Roanoke,TX","10,000","Arnold Transportation Services Inc, Grand Prairie, TX",
4,11:33," 1,390 ","San Bernardino,CA","Dallas,TX","19,000","JB Hunt Transport Services Inc, Lowell, AR",
5,11:33," 1,380 ","San Diego,CA","Allen,TX",—,"CH Robinson Company, Overland Park, KS",
6,11:31," 1,423 ","City Of Indus,CA","Dallas,TX","42,000","R2 Logistics Inc, Dallas, TX",
7,11:09," 1,462 ","Shafter,CA","Grand Prairie,TX","45,000","Uber Freight Llc, Chicago, IL",
8,11:08," 1,527 ","Eastvale,CA","Mt Pleasant,TX","42,000","Echo Global Logistics Inc, Dallas, TX",
9,10:58," 1,527 ","Eastvale,CA","Mt Pleasant,TX","42,000","Echo Global Logistics Inc, Long Beach, CA",
10,10:30," 1,423 ","City Of Indus,CA","Dallas,TX","42,000","R2 Logistics Inc, Dallas, TX",
11,06:10," 1,433 ","Santa Fe Spgs,CA","Carrollton,TX","40,000","Fleet Logistics, Portland, OR",
12,05:02," 1,360 ","San Diego,CA","Lewisville,TX","25,000","PLS Logistics Services, Jacksonville, FL",
13,14:04," 1,402 ","Pico Rivera,CA","Rockwall,TX","6,000","One Point Logistics Inc, Nashville, TN",
14,13:26," 1,510 ","Long Beach,CA","Athens,TX","24,000","American Logistics Group Inc, Melville, NY",
