,posted,miles,origin,dest,weight,shipper,time
0,14:00," 1,438 ","Carson,CA","Irving,TX","30,000","Landstar Ranger Inc, Tampa, FL",
1,13:59," 1,420 ","Fullerton,CA","Farmers Branch,TX","12,000","New Wave International Cargo Inc, Hodgkins, IL",
2,13:58," 1,452 ","Ontario,CA","Waco,TX","15,000","Transource Llc, Greenville, NC",
3,13:56," 1,440 ","Los Angeles,CA","Dallas,TX","41,800","R2 Logistics Inc, Dallas, TX",
4,13:51," 1,328 ","San Diego,CA","Ft Worth,TX","45,000","Coyote Logistics Llc, Alpharetta, GA",
5,13:48," 1,438 ","Carson,CA","Irving,TX","25,000","Landstar Ranger, Lake Wales, FL",
6,13:40," 1,423 ","City Of Indus,CA","Dallas,TX","41,800","R2 Logistics Inc, Dallas, TX",
7,13:10," 1,390 ","San Bernardino,CA","Dallas,TX","19,000","JB Hunt Transport Services Inc, Lowell, AR",
8,13:05," 1,527 ","Eastvale,CA","Mt Pleasant,TX","42,000","Echo Global Logistics Inc, Long Beach, CA",
9,12:31," 1,360 ","San Diego,CA","Lewisville,TX","25,000","PLS Logistics Services, Jacksonville, FL",
10,12:31," 1,360 ","San Diego,CA","Lewisville,TX","25,000","PLS Logistics Services, Jacksonville, FL",
