,posted,miles,origin,dest,weight,shipper,time
0,15:51," 1,390 ","San Bernardino,CA","Dallas,TX",—,"Mid America Freight Logistics LLC, Fenton, MO",
1,15:51,"



 1,316 ","Vernon,CA","Humble,TX","40,000","Allen Lund Company, La Canada, CA",
2,15:41," 1,501 ","Oxnard,CA","Dallas,TX","38,000","Coyote Logistics Llc, Alpharetta, GA",
3,15:36," 1,303 ","Beaumont,CA","Coppell,TX","28,000","Schneider National Inc, Green Bay, WI",
4,15:36," 1,303 ","Beaumont,CA","Coppell,TX","28,000","Schneider National Inc, Green Bay, WI",
5,15:36," 1,303 ","Beaumont,CA","Coppell,TX","28,575","SCHNEIDER NATIONAL INC, Green Bay, WI",
6,15:36," 1,303 ","Beaumont,CA","Coppell,TX","28,575","SCHNEIDER NATIONAL INC, Green Bay, WI",
7,15:36," 1,303 ","Beaumont,CA","Coppell,TX","28,575","SCHNEIDER NATIONAL INC, Green Bay, WI",
8,15:35," 1,538 ","Ventura,CA","Terrell,TX","7,100","Pilot Truck Brokerage LLC, San Diego, CA",
9,15:35," 1,538 ","Ventura,CA","Terrell,TX","7,100","Pilot Truck Brokerage LLC, San Diego, CA",
10,15:30," 1,359 ","Boron,CA","Dallas,TX","41,503","Bnsf Logistics Llc, Chicago, IL",
11,15:16," 1,390 ","San Bernardino,CA","Dallas,TX","19,000","JB Hunt Transport Services Inc, Lowell, AR",
12,15:06," 1,359 ","Boron,CA","Dallas,TX","41,000","Landstar Ranger, Houston, TX",
13,15:06," 1,359 ","Boron,CA","Dallas,TX","41,000","Landstar Ranger, Houston, TX",
14,14:48," 1,402 ","Ontario,CA","Flower Mound,TX","45,000","Knight-Swift Logistics, Phoenix, AZ",
15,14:36," 1,360 ","San Diego,CA","Lewisville,TX","25,000","PLS Logistics Services, Jacksonville, FL",
16,14:18," 1,364 ","Mira Loma,CA","Ft Worth,TX","42,100","Arcbest Dedicated/Logistics & Distribution, Sparks, NV",
17,14:04," 1,423 ","City Of Indus,CA","Dallas,TX","41,800","R2 Logistics Inc, Dallas, TX",
18,13:56," 1,440 ","Los Angeles,CA","Dallas,TX","41,800","R2 Logistics Inc, Dallas, TX",
19,13:45," 1,428 ","Buena Park,CA","Dallas,TX","9,200","Sure Shot Logistics, Huntington Woods, MI",
20,13:39," 1,419 ","Vernon,CA","Hurst,TX","20,000","All State Association Inc, San Fernando, CA",
21,12:31," 1,360 ","San Diego,CA","Lewisville,TX","25,000","PLS Logistics Services, Jacksonville, FL",
