,posted,miles,origin,dest,weight,shipper,time
0,15:31," 1,359 ","Boron,CA","Dallas,TX","41,503","Bnsf Logistics Llc, Chicago, IL",
1,15:16," 1,390 ","San Bernardino,CA","Dallas,TX","19,000","JB Hunt Transport Services Inc, Lowell, AR",
2,15:06," 1,359 ","Boron,CA","Dallas,TX","41,000","Landstar Ranger, Houston, TX",
3,15:06," 1,359 ","Boron,CA","Dallas,TX","41,000","Landstar Ranger, Houston, TX",
4,14:49," 1,402 ","Ontario,CA","Flower Mound,TX","45,000","Knight-Swift Logistics, Phoenix, AZ",
5,14:46,"



 1,316 ","Vernon,CA","Humble,TX","40,000","Allen Lund Company, La Canada, CA",
6,14:42," 1,390 ","San Bernardino,CA","Dallas,TX",—,"Mid America Freight Logistics LLC, Fenton, MO",
7,14:36," 1,501 ","Oxnard,CA","Dallas,TX","38,000","Coyote Logistics Llc, Alpharetta, GA",
8,14:36," 1,360 ","San Diego,CA","Lewisville,TX","25,000","PLS Logistics Services, Jacksonville, FL",
9,14:18," 1,364 ","Mira Loma,CA","Ft Worth,TX","42,100","Arcbest Dedicated/Logistics & Distribution, Sparks, NV",
10,14:04," 1,423 ","City Of Indus,CA","Dallas,TX","41,800","R2 Logistics Inc, Dallas, TX",
11,13:56," 1,440 ","Los Angeles,CA","Dallas,TX","41,800","R2 Logistics Inc, Dallas, TX",
12,13:45," 1,428 ","Buena Park,CA","Dallas,TX","9,200","Sure Shot Logistics, Huntington Woods, MI",
13,13:39," 1,419 ","Vernon,CA","Hurst,TX","20,000","All State Association Inc, San Fernando, CA",
14,13:34," 1,303 ","Beaumont,CA","Coppell,TX","28,575","SCHNEIDER NATIONAL INC, Green Bay, WI",
15,13:34," 1,303 ","Beaumont,CA","Coppell,TX","28,575","SCHNEIDER NATIONAL INC, Green Bay, WI",
16,13:34," 1,303 ","Beaumont,CA","Coppell,TX","28,575","SCHNEIDER NATIONAL INC, Green Bay, WI",
