,posted,miles,origin,dest,weight,shipper,time
0,16:18," 1,402 ","Ontario,CA","Flower Mound,TX","45,000","Knight-Swift Logistics, Phoenix, AZ",
1,16:15," 1,390 ","San Bernardino,CA","Dallas,TX","19,000","JB Hunt Transport Services Inc, Lowell, AR",
2,16:10," 1,359 ","Boron,CA","Dallas,TX","41,000","Landstar Ranger, Houston, TX",
3,16:10," 1,359 ","Boron,CA","Dallas,TX","41,000","Landstar Ranger, Houston, TX",
4,16:00," 1,407 ","Fullerton,CA","Roanoke,TX","20,112","Uber Freight Llc, Chicago, IL",
5,15:51," 1,390 ","San Bernardino,CA","Dallas,TX",—,"Mid America Freight Logistics LLC, Fenton, MO",
6,15:40," 1,501 ","Oxnard,CA","Dallas,TX","38,000","Coyote Logistics Llc, Alpharetta, GA",
7,15:35," 1,303 ","Beaumont,CA","Coppell,TX","28,000","Schneider National Inc, Green Bay, WI",
8,15:35," 1,303 ","Beaumont,CA","Coppell,TX","28,000","Schneider National Inc, Green Bay, WI",
9,15:35," 1,303 ","Beaumont,CA","Coppell,TX","28,575","SCHNEIDER NATIONAL INC, Green Bay, WI",
10,15:35," 1,303 ","Beaumont,CA","Coppell,TX","28,575","SCHNEIDER NATIONAL INC, Green Bay, WI",
11,15:35," 1,303 ","Beaumont,CA","Coppell,TX","28,575","SCHNEIDER NATIONAL INC, Green Bay, WI",
12,15:35," 1,538 ","Ventura,CA","Terrell,TX","7,100","Pilot Truck Brokerage LLC, San Diego, CA",
13,15:34," 1,538 ","Ventura,CA","Terrell,TX","7,100","Pilot Truck Brokerage LLC, San Diego, CA",
14,15:30," 1,359 ","Boron,CA","Dallas,TX","41,503","Bnsf Logistics Llc, Chicago, IL",
15,14:35," 1,360 ","San Diego,CA","Lewisville,TX","25,000","PLS Logistics Services, Jacksonville, FL",
16,14:17," 1,364 ","Mira Loma,CA","Ft Worth,TX","42,100","Arcbest Dedicated/Logistics & Distribution, Sparks, NV",
